nome_parlametria,uf,nome_original,partido,id_camara
JOICE HASSELMANN,SP,JOICE HASSELMANN,PSL,204546
MAJOR FABIANA,RJ,MAJOR FABIANA,PSL,204458
JULIAN LEMOS,PB,JULIAN LEMOS,PSL,204420
LOURIVAL GOMES,RJ,LOURIVAL GOMES,PSL,196358
ALINE SLEUTJES,PR,ALINE SLEUTJES,PSL,204400
FÉLIX MENDONÇA JÚNIOR,BA,FÉLIX MENDONÇA JÚNIOR,PDT,160666
ANDRÉ FIGUEIREDO,CE,ANDRÉ FIGUEIREDO,PDT,133439
CEZINHA DE MADUREIRA,SP,CEZINHA DE MADUREIRA,PSD,204504
LUIZA ERUNDINA,SP,LUIZA ERUNDINA,PSOL,74784
ANGELA AMIN,SC,ANGELA AMIN,PP,73696
LUIS MIRANDA,DF,LUIS MIRANDA,DEM,204381
LOESTER TRUTIS,MS,LOESTER TRUTIS,PSL,204382
VAVÁ MARTINS,PA,VAVÁ MARTINS,REPUBLICANOS,204505
IZALCI LUCAS,DF,IZALCI LUCAS,PSDB,4931
CARLOS HENRIQUE GAGUIM,TO,CARLOS HENRIQUE GAGUIM,DEM,178993
WELITON PRADO,MG,WELITON PRADO,PROS,160518
ELIZIANE GAMA,MA,ELIZIANE GAMA,PPS,178883
CACÁ LEÃO,BA,CACÁ LEÃO,PP,93083
MARRECA FILHO,MA,MARRECA FILHO,PATRIOTA,204566
CAPITÃO WAGNER,CE,CAPITÃO WAGNER,PROS,204487
JÚNIOR MANO,CE,JÚNIOR MANO,PL,204550
ARTHUR LIRA,AL,ARTHUR LIRA,PP,160541
NELSON BARBUDO,MT,NELSON BARBUDO,PSL,204449
FAUSTO PINATO,SP,FAUSTO PINATO,PP,66828
VINICIUS FARAH,RJ,VINICIUS FARAH,MDB,204478
LIZIANE BAYER,RS,LIZIANE BAYER,PSB,204405
SARGENTO FAHUR,PR,SARGENTO FAHUR,PSD,204387
GUILHERME DERRITE,SP,GUILHERME DERRITE,PP,204531
PAULO GANIME,RJ,PAULO GANIME,NOVO,204461
RAIMUNDO COSTA,BA,RAIMUNDO COSTA,PL,204567
VINICIUS CARVALHO,SP,VINICIUS CARVALHO,REPUBLICANOS,141555
AGUINALDO RIBEIRO,PB,AGUINALDO RIBEIRO,PP,160527
RUI FALCÃO,SP,RUI FALCÃO,PT,73604
SÓSTENES CAVALCANTE,RJ,SÓSTENES CAVALCANTE,DEM,178947
ALEXIS FONTEYNE,SP,ALEXIS FONTEYNE,NOVO,204516
MARÍLIA ARRAES,PE,MARÍLIA ARRAES,PT,204428
DAGOBERTO NOGUEIRA,MS,DAGOBERTO NOGUEIRA,PDT,141411
HEITOR SCHUCH,RS,HEITOR SCHUCH,PSB,178964
CAPITÃO AUGUSTO,SP,CAPITÃO AUGUSTO,PL,178829
GURGEL,RJ,GURGEL,PSL,204442
ROGÉRIO PENINHA MENDONÇA,SC,ROGÉRIO PENINHA MENDONÇA,MDB,160651
ROMAN,PR,ROMAN,PATRIOTA,178930
SERGIO SOUZA,PR,SERGIO SOUZA,MDB,178933
ENIO VERRI,PR,ENIO VERRI,PT,132504
CELSO SABINO,PA,CELSO SABINO,PSDB,204496
PEDRO PAULO,RJ,PEDRO PAULO,DEM,122158
VERMELHO,PR,VERMELHO,PSD,204396
ALEXANDRE LEITE,SP,ALEXANDRE LEITE,DEM,160545
RAFAEL MOTTA,RN,RAFAEL MOTTA,PSB,178951
PAULO PEREIRA DA SILVA,SP,PAULO PEREIRA DA SILVA,SOLIDARIEDADE,141518
GIOVANI CHERINI,RS,GIOVANI CHERINI,PL,160673
HERCULANO PASSOS,SP,HERCULANO PASSOS,MDB,178981
BILAC PINTO,MG,BILAC PINTO,DEM,141513
GELSON AZEVEDO,RJ,GELSON AZEVEDO,PL,115746
EDILÁZIO JÚNIOR,MA,EDILÁZIO JÚNIOR,PSD,204562
MARCO BERTAIOLLI,SP,MARCO BERTAIOLLI,PSD,204522
FRANCO CARTAFINA,MG,FRANCO CARTAFINA,PP,204510
ROBERTO ALVES,SP,ROBERTO ALVES,REPUBLICANOS,152610
CELINA LEÃO,DF,CELINA LEÃO,PP,204380
FÁBIO HENRIQUE,SE,FÁBIO HENRIQUE,PDT,68720
DELEGADO ANTÔNIO FURTADO,RJ,DELEGADO ANTÔNIO FURTADO,PSL,204451
CHARLLES EVANGELISTA,MG,CHARLLES EVANGELISTA,PSL,204490
VALTENIR PEREIRA,MT,VALTENIR PEREIRA,MDB,141552
GILBERTO ABRAMO,MG,GILBERTO ABRAMO,REPUBLICANOS,204491
GEOVANIA DE SÁ,SC,GEOVANIA DE SÁ,PSDB,178966
CÉLIO SILVEIRA,GO,CÉLIO SILVEIRA,PSDB,178876
CHICO D'ANGELO,RJ,CHICO D'ANGELO,PDT,141439
LUIZIANNE LINS,CE,LUIZIANNE LINS,PT,178866
JÉSSICA SALES,AC,JÉSSICA SALES,MDB,178839
